ProductId,ProductName,CompanyName,CategoryName,QuantityPerUnit,UnitPrice,UnitsInStock,ReorderLEvel,Discontinued
17,Alice Mutton,Pavlova Ltd.,Meat/Poultry,20 - 1 kg tins,39,0,0,1
3,Aniseed Syrup,Exotic Liquids,Condiments,12 - 550 ml bottles,10,13,25,0
40,Boston Crab Meat,New England Seafood Cannery,Seafood,24 - 4 oz tins,18.4,123,30,0
60,Camembert Pierrot,Gai pâturage,Dairy Products,15 - 300 g rounds,34,19,0,0
18,Carnarvon Tigers,Pavlova Ltd.,Seafood,16 kg pkg.,62.5,42,0,0
1,Chai,Exotic Liquids,Beverages,10 boxes x 20 bags,18,39,10,0
2,Chang,Exotic Liquids,Beverages,24 - 12 oz bottles,19,17,25,0
39,Chartreuse verte,Aux joyeux ecclésiastiques,Beverages,750 cc per bottle,18,69,5,0
4,Chef Anton's Cajun Seasoning,New Orleans Cajun Delights,Condiments,48 - 6 oz jars,22,53,0,0
5,Chef Anton's Gumbo Mix,New Orleans Cajun Delights,Condiments,36 boxes,21.35,0,0,1
48,Chocolade,Zaanse Snoepfabriek,Confections,10 pkgs.,12.75,15,25,0
38,Côte de Blaye,Aux joyeux ecclésiastiques,Beverages,12 - 75 cl bottles,263.5,17,15,0
58,Escargots de Bourgogne,Escargots Nouveaux,Seafood,24 pieces,13.25,62,20,0
52,Filo Mix,G'day Mate,Grains/Cereals,16 - 2 kg boxes,7,38,25,0
71,Flotemysost,Norske Meierier,Dairy Products,10 - 500 g pkgs.,21.5,26,0,0
33,Geitost,Norske Meierier,Dairy Products,500 g,2.5,112,20,0
15,Genen Shouyu,Mayumi's,Condiments,24 - 250 ml bottles,15.5,39,5,0
56,Gnocchi di nonna Alice,Pasta Buttini s.r.l.,Grains/Cereals,24 - 250 g pkgs.,38,21,30,0
31,Gorgonzola Telino,Formaggi Fortini s.r.l.,Dairy Products,12 - 100 g pkgs,12.5,0,20,0
6,Grandma's Boysenberry Spread,Grandma Kelly's Homestead,Condiments,12 - 8 oz jars,25,120,25,0
37,Gravad lax,Svensk Sjöföda AB,Seafood,12 - 500 g pkgs.,26,11,25,0
24,Guaraná Fantástica,Refrescos Americanas LTDA,Beverages,12 - 355 ml cans,4.5,20,0,1
69,Gudbrandsdalsost,Norske Meierier,Dairy Products,10 kg pkg.,36,26,15,0
44,Gula Malacca,Leka Trading,Condiments,20 - 2 kg bags,19.45,27,15,0
26,Gumbär Gummibärchen,Heli Süßwaren GmbH & Co. KG,Confections,100 - 250 g bags,31.23,15,0,0
22,Gustaf's Knäckebröd,PB Knäckebröd AB,Grains/Cereals,24 - 500 g pkgs.,21,104,25,0
10,Ikura,Tokyo Traders,Seafood,12 - 200 ml jars,31,31,0,0
36,Inlagd Sill,Svensk Sjöföda AB,Seafood,24 - 250 g  jars,19,112,20,0
43,Ipoh Coffee,Leka Trading,Beverages,16 - 500 g tins,46,17,25,0
41,Jack's New England Clam Chowder,New England Seafood Cannery,Seafood,12 - 12 oz cans,9.65,85,10,0
13,Konbu,Mayumi's,Seafood,2 kg box,6,24,5,0
76,Lakkalikööri,Karkki Oy,Beverages,500 ml,18,57,20,0
67,Laughing Lumberjack Lager,Bigfoot Breweries,Beverages,24 - 12 oz bottles,14,52,10,0
74,Longlife Tofu,Tokyo Traders,Produce,5 kg pkg.,10,4,5,0
65,Louisiana Fiery Hot Pepper Sauce,New Orleans Cajun Delights,Condiments,32 - 8 oz bottles,21.05,76,0,0
66,Louisiana Hot Spiced Okra,New Orleans Cajun Delights,Condiments,24 - 8 oz jars,17,4,20,0
